"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"9","p(elev)psi(in_out)",4,107.396625371995,0,1,0.787283714579219,-49.3534850997908,0.787283714579219
"17","p(basal_a)psi(in_out)",4,110.68133137439,3.28470600239498,0.193524143594526,0.15235840662986,-50.9958381009883,0.939642121209079
"1","p(.)psi(.)",2,115.74856570415,8.35194033215436,0.0153602823990442,0.0120929001841053,-55.7742828520748,0.951735021393185
"3","p(elev)psi(slope)",4,116.645071266217,9.24844589422162,0.00981127595483715,0.00772425777848596,-53.9777080469016,0.959459279171671
"8","p(elev)psi(basal_a)",4,117.561357818395,10.1647324463993,0.00620520872187683,0.00488525977229856,-54.4358513229904,0.964344538943969
"10","p(basal_a)psi(elev)",4,117.689507052625,10.2928816806298,0.00582008251028186,0.00458205617785225,-54.4999259401057,0.968926595121821
"11","p(basal_a)psi(slope)",4,117.941364224219,10.5447388522232,0.0051314375950119,0.00403989725093242,-54.6258545259024,0.972966492372754
"2","p(elev)psi(elev)",4,118.462536601801,11.065911229806,0.00395428445834534,0.003113143756869,-54.8864407146938,0.976079636129623
"6","p(elev)psi(canopy_h)",4,118.492826624487,11.0962012524915,0.00389484799441245,0.00306635039676245,-54.9015857260365,0.979145986526385
"7","p(elev)psi(canopy_c)",4,118.650141101957,11.2535157299614,0.00360022885401561,0.00283440154552469,-54.9802429647715,0.98198038807191
"5","p(elev)psi(dist_rd)",4,118.706840986301,11.3102156143054,0.00349959578501242,0.00275517476915036,-55.0085929069435,0.98473556284106
"4","p(elev)psi(dist_def)",4,118.741095914524,11.3444705425289,0.00344016696903535,0.00270838743015488,-55.0257203710552,0.987443950271215
"14","p(basal_a)psi(canopy_h)",4,118.789798826536,11.3931734545402,0.00335740566328684,0.00264323080194177,-55.0500718270609,0.990087181073157
"15","p(basal_a)psi(canopy_c)",4,118.864969904865,11.46834453287,0.00323355778523918,0.00254572738446966,-55.0876573662258,0.992632908457627
"16","p(basal_a)psi(basal_a)",4,118.904477534305,11.5078521623097,0.00317030943860573,0.00249593299119108,-55.1074111809456,0.995128841448818
"12","p(basal_a)psi(dist_def)",4,118.948367888055,11.5517425160601,0.00310149427935377,0.00244175593699583,-55.1293563578208,0.997570597385814
"13","p(basal_a)psi(dist_rd)",4,118.958511962951,11.5618865909553,0.00308580321070776,0.00242940261418648,-55.1344283952684,1
